,title,address,description,price,date,seller,image
0,3 bedroom semi-detached house for sale,"Limefield Road, Bolton","An extended three bedroom semi detached house, situated in a sought after cul de sac location, close to Smithills High School, Saint Peters, Smithills Dean Church of England primary School and lovely open countryside. This spacious property is ideal for growing families, wishing to possibly...","£324,950",21/12/2022," Cardwells Sales, Lettings, Management & Commercial, Bolton",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/14k/13084/130137116/13084_11801678_IMG_00_0000_max_476x317.jpeg
1,5 bedroom detached house for sale,"Irlams Farm, Chorley Road, Westhoughton, Bolton, Lancashire, BL5 3NH",LARGE PLOT OF LAND - DEVELOPMENT OPPORTUNITY - INCLUDING DETACHED FAMILY HOME,"£2,500,000",16/05/2022," Harrisons Estate Agents, Bolton",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/243k/242354/114996884/242354_HRR_HRR_LFSYCL_345_75775003_IMG_26_0001_max_476x317.jpeg
2,5 bedroom detached house for sale,"Old Kiln Lane, Heaton, BL1 7PY","Simply stunning five bedroom detached residence offering approx. 7,500 sq.feet Approx 2 acre plot ( including ¾ acre plot offering potential for a detached dwelling STPP) 1,000 sq ft detached barn - Potential to convert to detached cottage/ gym/office STPP Superb quality & ...","£2,300,000",02/09/2021," PLM, Bolton",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/78k/77103/112850171/77103_17138_IMG_00_0000_max_476x317.jpeg
3,9 bedroom detached house for sale,"Ravenhurst Drive, Bolton, BL1","An opportunity to purchase two modern homes of nearly 10,000 set in substantial grounds","£1,895,000",02/09/2022," Savills, Knutsford",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/200k/199484/65896386/199484_KNU190236_IMG_00_0000_max_476x317.jpeg
4,6 bedroom detached house for sale,"High Bank Lane, Lostock, Bolton, Greater Manchester, BL6","Perfectly nestled at the top of High Bank Lane in Lostock, just a stone’s throw from the fifth tee of the prestigious Bolton Golf Club sits the impeccable Longwood House. A rare, unique and one of a kind home filled with elegance and bursting with class, sophistication and pure quality.","£1,800,000",13/10/2022," Miller Metcalfe, Horwich",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/221k/220895/127991216/220895_HOA225802_IMG_29_0000_max_476x317.jpeg
5,5 bedroom detached house for sale,"Clare Bank, Heaton, Bolton ~Impressive gated development situated off Clarebank / Markland Hill ~",Please contact the office for more details ~ Just four select residences within a secure gated development ~ Bespoke Individually designed Homes ~ Flexible five bedroom accommodation arranged over four floors ~ The epitome of sheer opulence & luxury ~ A most desirable sought after open woo...,"£1,500,000",04/02/2022," PLM, Bolton",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/78k/77103/119546870/77103_19178_IMG_01_0000_max_476x317.jpeg
6,6 bedroom detached house for sale,"Windy Harbour Lane, Bromley Cross, Bolton, Greater Manchester, BL7","A very warm welcome to Ridgefields. Surely one of the most elegant, sophisticated and truly outstanding homes to ever hit the market. Take our word for it when we say that you are unlikely to ever find something that compares to the attention to detail, quality and sheer class on offer at this tr...","£1,500,000",21/09/2022," Miller Metcalfe, Harwood",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/221k/220892/128055290/220892_HWD220153_IMG_00_0000_max_476x317.jpeg
7,5 bedroom detached house for sale,"Cockey Moor Road, Bury, BL8","We are proud to present this impressive and imposing post war detached residence of generous proportions, occupying what is perhaps one of the most prestigious locations on this side of town and enjoying a pleasant rural aspect to the side and at the rear.Set in excess of three quarters...","£1,400,000",24/10/2022," JonSimon Estate Agents, Ramsbottom",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/151k/150941/128359586/150941_25476447_IMG_00_0000_max_476x317.jpeg
8,4 bedroom detached house for sale,"Acresdale, Bolton, Greater Manchester, BL6",This stunning property has undergone an extensive rebuild by the present owners. Originally built in 1973 this property has been completely transformed resulting in a fabulous family property maximising modern energy efficiency throughout. Occupying a large plot in leafy Lostock with close proximit,"£1,395,000",01/12/2022," Joncol Properties Ltd, Bamber Bridge",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254336/129639359/254336_JCP001_IMG_29_0000_max_476x317.jpeg
9,5 bedroom detached house for sale,"Sunningdale, Chorley New Road, – SOLD –","Sunningdale is an elegant, period home offering the grandeur & elegance a residence of this era can only offer. Fine Arts & Crafts Edwardian Residence with superb south facing garden.   Key features A handsome detached family house ~ three receptions and Bespoke fitted st...","£1,300,000",16/12/2022," PLM, Bolton",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/78k/77103/121066520/77103_19285_IMG_33_0000_max_476x317.jpeg
